,Title,Author,Rating,Price
63,"Karma: A Yogi's Guide to Crafting Your Destiny | Spirituality, Self-improvement & Self help books by Sadhguru | Penguin",Sadhguru,4.7,₹256.00
64,Secondary School Mathematics for Class 9 - CBSE - by R.S. Aggarwal Examination 2022-2023,R.S. Aggarwal,4.5,₹380.00
65,Oswaal Term 2 Mathematics CBSE Class 12 Sample Question Paper Book (For Term-2 2022 Exam) Oswaal Books,Oswaal Editorial Board,4.6,₹127.00
66,The Illustrated Stories Of Akbar and Birbal: Classic Tales From India,Wonder House Books,4.6,₹154.00
67,How to Prepare for QUANTITATIVE APTITUDE for CAT ( With CAT Practice Tests on Pull Marks )| 9th Edition,Arun Sharma,4.5,₹725.00
68,One Arranged Murder,Chetan Bhagat,4.4,₹139.00
69,Computer Science With Python Textbook And Practical Book For Class 12 (Examination 2022-2023),Sumita Arora,4.5,₹514.00
70,"My First 1000 Words: Early Learning Picture Book to Learn Alphabet, Numbers, Shapes and Colours, Transport, Birds and Animals, Professions, Opposite ... Parts of the body and Objects Around Us.",Wonder House Books,4.5,₹142.00
71,Who Will Cry When You Die?,Robin Sharma,4.5,₹133.00
72,How to Crack Test Of Reasoning- REVISED EDITION,Jaikishan,4.3,₹149.00
73,Apke Avchetan Man Ki Shakti (The Power of your Subconscious Mind in Hindi),Joseph Murphy,4.4,₹94.00
74,"Educart NEET 30 Previous Year Solved Papers (Physics, Chemistry & Biology) For 2022 Exam (5000+ questions with explanations)",N/A,4.8,₹393.00
75,The Kid Who Came From Space,Ross Welford,4.5,₹305.00
76,"MTG Objective NCERT at your FINGERTIPS - Physics, Best Books for NEET & JEE Preparation (Based on NCERT Pattern - Latest & Revised Edition 2022)",N/A,4.5,₹500.00
77,And Then There Were None: The World’s Favourite Agatha Christie Book: The World’s Favourite Agatha Christie Book,Agatha Christie,4.6,₹165.00
78,"Oswaal CBSE Question Bank Chapterwise For Term 2, Class 12, Chemistry (For 2022 Exam)",Oswaal Editorial Board,4.4,₹254.00
79,"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,4.7,"₹1,600.00"
80,Indian Art and Culture ( English| 4th Edition) | UPSC | Civil Services Exam | State Administrative Exams,N/A,4.6,₹580.00
81,Secondary School Mathematics for Class 10 - CBSE - by R.S. Aggarwal Examination 2022-2023,R.S. Aggarwal,4.5,₹425.00
82,N/A,N/A,4.5,₹159.00
83,Mandala Art: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book),Wonder House Books,4.6,₹123.00
84,Pathfinder NDA/NA National Defence Academy & Naval Academy Entrance Examination,Arihant Experts,4.5,₹452.00
85,A Brief History of Modern India (2019-2020 Edition) by Spectrum Books,N/A,4.5,₹355.00
86,Grandparents' Bag of Stories,N/A,4.7,₹139.00
87,Pankaj Ladha & Anant Ladha,N/A,0,₹284.00
88,The Time Machine,H. G. Wells,4.4,₹85.00
89,"My First Super Boxset of Pencil Control and Patterns : Pack of 4 interactive activity books to practice Patterns, Numbers and Alphabet: A set of 4 ... to practice Patterns, Numbers and Alphabet",Wonder House Books,4.5,₹290.00
90,My First Experiences Sticker Book,Wonder House Books,4.3,₹123.00
91,How to Prepare for Verbal Ability and Reading Comprehension for CAT | 9th Edition,Arun Sharma,4.5,₹649.00
92,My First Shapes and Colours Sticker Book: Exciting Sticker Book With 100 Stickers,Wonder House Books,4.5,₹123.00
93,Technical Analysis Aur Candlestick Ki Pehchan - Guide To Technical Analysis & Candlesticks Hindi,N/A,3.7,₹240.00
94,Mathematics for Class 7 - CBSE - by R.D. Sharma Examination 2022-2023,R.D. Sharma,4.6,₹337.00
95,"One Day, Life Will Change: A story of love and inspiration to win life when it hits you hard . . .",Saranya Umakanthan,4.5,₹129.00
96,The 7 Habits of Highly Effective People,Stephen R. Covey,4.5,₹329.00
97,The Power Of Now: A Guide To Spiritual Enlightenment,Eckhart Tolle,4.5,₹350.00
98,Harry Potter Box Set: The Complete Collection (Set of 7 Volumes),J.K. Rowling,4.7,"₹2,519.00"
99,The Everyday Hero Manifesto,Robin Sharma,4.6,₹158.00
100,My First Little Librarian: Boxset of 12 Best Board Books for Kids,N/A,4.4,₹356.00
101,Wise and Otherwise: A salute to Life,N/A,4.6,₹169.00
102,World History In 3 Points,Zac Sangeeth,4.8,₹311.91
103,Current Affairs Yearly 2022,Arihant Experts,4.1,₹120.00
104,Harry Potter and the Chamber of Secrets (Harry Potter 2),J.K. Rowling,4.7,₹310.00
105,Oxford School Atlas: India's Most Trusted Atlas 36th edition,Oxford,4.5,₹287.00
106,Target High 6th Premium Edition,N/A,4.5,"₹1,127.00"
107,My First Animal Sticker Book: Exciting Sticker Book With 100 Stickers,Wonder House Books,4.4,₹120.00
108,My First Complete Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),Wonder House Books,4.6,₹664.00
109,The Secret Garden,Frances Hodgson Burnett,4.4,₹119.00
110,"Oswaal CBSE Question Bank Chapterwise For Term 2, Class 12, English Core (For 2022 Exam)",Oswaal Editorial Board,4.5,₹214.00
111,Introductory Macro Economics for Class 12 - CBSE - by Sandeep Garg Examination 2022-23,Sandeep Garg,4.6,₹431.00
112,1001 Activities Book,N/A,4.4,₹449.00
113,SANJAY PAGHDAL,N/A,0,₹232.00
114,"The Boy, The Mole, The Fox and The Horse",Charlie Mackesy,4.8,₹642.00
115,The Secret(Tamil),Rhonda Byrne,4.6,₹284.00
116,The Power of Your Subconscious Mind,Joseph Murphy,4.5,₹94.00
117,The Richest Man in Babylon,George S. Clason,4.5,₹94.00
118,System Design Interview - An insider's guide,Alex Xu,4.5,"₹1,860.00"
119,Start With Why: The Inspiring Million-Copy Bestseller That Will Help You Find Your Purpose,Simon Sinek,4.5,₹328.00
120,"Children's Encyclopedia - Scientists, Inventions And Discoveries: The World of Knowledge",N/A,4.3,₹121.00
121,101 Panchatantra Stories with Moral (New Edition),Dreamland Publications,4.4,₹134.00
122,World's Greatest Scientists & Inventors: Biographies of Inspirational Personalities For Kids,Wonder House Books,4.5,₹94.00
123,The Power Of Your Subconscious Mind | Special hardcover edition | International Bestseller Book,N/A,4.5,₹135.00
124,Problems In GENERAL PHYSICS,I E Irodov,4.5,₹129.00
125,Mandala: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book),Wonder House Books,4.5,₹123.00
126,Rahasya (Hindi),Rhonda Byrne,4.5,₹239.00
127,THE PSYCHOLOGY OF MONEY (DELUXE EDITION),Morgan Housel,4.6,₹468.00
128,November 9: A Novel,Colleen Hoover,4.5,₹200.00
129,CBSE All In One Science Class 9 2022-23 Edition,N/A,5.0,₹495.00
130,Ruskin Bond - Stories of Wisdom,Ruskin Bond,4.4,₹100.00
131,Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,N/A,4.5,₹94.00
132,N/A,N/A,4.2,₹275.00
